,sample,IGSN,source,EXPEDITION ID,LATITUDE,LONGITUDE,LOC PREC,MIN ELEVATION,MAX ELEVATION,MIN AGE,AGE,MAX AGE,METHODS,ANALYZED MATERIAL,ROCK TYPE,sample_type,MINERAL,TECTONIC SETTING,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
8696,AII0131-11-R501_002,,"AREVALO JR, 2008",AII0131-11,9.84167,-104.273,1e-05,-2567.0,-2567.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.95,11.92,1.97,10.97,3.55,1.29,4.64,0.78,5.53,1.17,3.42,0.49,3.33,0.48
8697,AII0131-11-R501_007,,"AREVALO JR, 2008",AII0131-11,9.84167,-104.273,1e-05,-2567.0,-2567.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.9,11.11,1.92,11.14,3.79,1.32,5.18,0.87,6.28,1.32,3.99,0.56,3.59,0.57
8698,HANAUST-RTG-306,,"HANYU, 2011",HANAUST,-21.2517,-159.768,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,OCEAN_ISLAND,35.1,73.9,9.14,38.1,8.05,2.49,7.12,0.999,4.98,0.841,2.1,0.248,1.46,0.195
8699,HANAUST-TBA-301,,"HANYU, 2011",HANAUST,-23.3683,-149.468,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,OCEAN_ISLAND,59.2,115.0,13.1,49.7,9.18,2.77,7.81,1.13,5.61,0.979,2.49,0.298,1.81,0.246
8700,HANAUST-TBA-303-002,,"HANYU, 2011",HANAUST,-23.3767,-149.48,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,OCEAN_ISLAND,28.9,59.8,7.1,28.3,5.65,1.76,5.19,0.773,4.16,0.764,2.07,0.268,1.66,0.235
8701,HANAUST-TBA-303-003,,"HANYU, 2011",HANAUST,-23.3767,-149.48,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,OCEAN_ISLAND,31.9,65.9,7.9,31.5,6.23,1.93,5.59,0.82,4.28,0.772,2.03,0.255,1.57,0.217
8702,ALV0481-2005,,"BARKER, 2008",ALV4081,-22.9733,-111.879,1e-06,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,3.23,11.4,2.23,11.85,4.38,1.53,6.76,1.17,7.58,1.74,5.03,0.81,4.69,0.73
8703,ALV0481-2005-2,,"BARKER, 2008",ALV4081,-22.9733,-111.879,1e-06,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,3.19,11.45,2.22,11.86,4.37,1.49,6.77,1.11,7.66,1.69,4.76,0.79,5.0,0.77
8704,ALV0481-2110,,"BARKER, 2008",ALV4081,-22.9736,-111.879,1e-06,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,3.16,10.95,2.12,11.18,4.13,1.45,6.35,1.08,6.96,1.59,4.52,0.73,4.27,0.65
8705,ALV0481-2124,,"BARKER, 2008",ALV4081,-22.9739,-111.878,1e-06,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,3.33,11.63,2.26,11.88,4.29,1.51,6.55,1.13,7.3,1.68,4.89,0.79,4.56,0.7
8706,ALV0481-2132,,"BARKER, 2008",ALV4081,-22.9739,-111.878,1e-06,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,2.64,9.59,1.79,9.44,3.41,1.26,5.19,0.89,5.74,1.3,3.76,0.6,3.53,0.54
8707,ALV0481-2132B,,"BARKER, 2008",ALV4081,-22.9739,-111.878,1e-06,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,2.88,9.75,1.87,9.74,3.5,1.29,5.38,0.91,5.87,1.34,3.85,0.62,3.58,0.55
8708,ALV0481-2234,,"BARKER, 2008",ALV4081,-22.9732,-111.878,1e-06,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,3.8,13.45,2.61,13.87,5.04,1.78,7.77,1.33,8.61,1.98,5.69,0.92,5.37,0.83
8709,ALV0481-2234B,,"BARKER, 2008",ALV4081,-22.9732,-111.878,1e-06,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,3.7,13.07,2.53,13.4,4.9,1.72,7.53,1.28,8.23,1.88,5.41,0.88,5.1,0.79
8710,ALV0518-001-001,,"YANG, 2018",ALV0518,36.818,-33.255,0.001,-2685.0,-2685.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.11,9.68,1.4,7.01,2.24,0.9,3.13,0.56,3.79,0.82,2.42,0.35,2.29,0.35
8711,ALV0518-002-001,,"YANG, 2018",ALV0518,36.818,-33.255,0.001,-2685.0,-2685.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,2.83,6.99,1.04,5.37,1.85,0.79,2.72,0.48,3.32,0.71,2.06,0.3,1.97,0.3
8712,ALV0518-002-002,,"YANG, 2018",ALV0518,36.818,-33.255,0.001,-2685.0,-2685.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,2.75,6.86,1.01,5.28,1.79,0.76,2.59,0.46,3.15,0.68,1.99,0.28,1.89,0.28
8713,ALV0520-002,,"TANG, 2017",ALV0520,36.817,-33.263,0.001,-2728.0,-2728.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,3.09,6.4,0.92,4.47,1.76,0.67,2.71,0.51,3.47,0.78,2.5,0.37,2.52,0.39
8714,ALV0520-002B,,"TANG, 2017",ALV0520,36.817,-33.263,0.001,-2728.0,-2728.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,2.98,7.04,1.02,5.01,1.66,0.65,2.53,0.49,3.39,0.77,2.39,0.35,2.42,0.37
8715,ALV0522-001-001,,"TANG, 2017",ALV0522,36.812,-33.265,0.001,-2526.0,-2526.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,2.83,6.76,0.98,4.96,1.57,0.63,2.39,0.45,3.24,0.73,2.28,0.34,2.35,0.35
8716,ALV0523-001,,"GALE, 2013; SUN, 2003",ALV0523,36.827,-33.252,0.001,-2532.0,-2532.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,6.71,14.81,2.12,9.74,2.71,0.97,3.73,0.64,4.21,0.9,2.56,0.343,2.47,0.39
8717,ALV0525-005-002,,"GALE, 2013; SUN, 2003",ALV0525,36.812,-33.273,0.001,-2625.0,-2625.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,3.7,8.7,1.29,6.26,1.92,0.74,2.83,0.51,3.52,0.79,2.28,0.323,2.38,0.37
8718,ALV0526-005,,"GALE, 2013; SUN, 2003",ALV0526,36.818,-33.248,0.001,-2550.0,-2550.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,7.58,16.98,2.47,11.5,3.51,1.16,4.61,0.81,5.48,1.16,3.33,0.453,3.28,0.5
8719,ALV0527-001-001,,"GALE, 2013; SUN, 2003",ALV0527,36.808,-33.26,0.001,-2512.0,-2512.0,,,,ICPMS; LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,2.375,5.79,0.86,4.264,1.387,0.593,2.09994,0.432,3.113,0.723,2.24998,0.321,2.268,0.354
8720,ALV0529-004,,"GALE, 2013; SUN, 2003",ALV0529,36.818,-33.265,0.001,-2649.0,-2649.0,,,,ICPMS; LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.92,11.73,1.7,8.37,2.53,0.91,3.56,0.63,4.17,0.9,2.6,0.358,2.53,0.4
8721,ALV0818-004-VG3764,,"REEKIE, 2019",ALV0818,36.78,-33.29,0.001,-2650.0,-2650.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.98,11.72,1.61,8.04,2.45,0.97,2.98,0.51,3.73,0.81,2.32,0.33,2.32,0.32
8722,ALV0818-004-VG3765,,"REEKIE, 2019",ALV0818,36.78,-33.29,0.001,-2650.0,-2650.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,5.35,12.66,1.78,8.33,2.46,0.83,3.0,0.48,3.3,0.71,2.13,0.28,2.1,0.27
8723,ALV0818-005,,"REEKIE, 2019",ALV0818,36.78,-33.3,0.01,-2650.0,-2650.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,6.28,13.75,1.77,8.38,2.37,0.87,2.73,0.51,3.3,0.7,2.12,0.32,2.0,0.3
8724,ALV0818-011,,"REEKIE, 2019",ALV0818,36.78,-33.3,0.01,-2650.0,-2650.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,6.04,13.65,1.81,8.23,2.57,0.92,3.16,0.57,3.98,0.86,2.34,0.36,2.26,0.36
8725,ALV0820-001-VG3768,,"REEKIE, 2019",ALV0820,36.75,-33.29,0.01,-2586.0,-2476.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,5.57,12.94,1.84,8.52,2.52,0.91,3.07,0.58,3.74,0.81,2.44,0.35,2.28,0.35
8726,ALV0820-002,,"REEKIE, 2019",ALV0820,36.75,-33.29,0.01,-2586.0,-2476.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.9,11.34,1.61,7.67,2.46,0.91,3.05,0.6,4.08,0.87,2.53,0.38,2.53,0.37
8727,ALV0822-008,,"YANG, 2018",ALV0822,36.742,-33.333,0.001,-2422.0,-2422.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,2.78,7.02,1.02,5.23,1.7,0.71,2.39,0.42,2.96,0.65,1.95,0.29,1.92,0.29
8728,ALV0824-001,,"YANG, 2018",ALV0824,36.753,-33.282,0.001,-2546.0,-2546.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,7.19,16.49,2.25,11.01,3.36,1.19,4.53,0.79,5.35,1.15,3.37,0.49,3.24,0.49
8729,ALV0824-002C,,"YANG, 2018",ALV0824,36.753,-33.282,0.001,-2546.0,-2546.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,6.62,15.38,2.08,10.06,3.1,1.13,4.13,0.73,4.94,1.06,3.14,0.45,2.98,0.45
8730,ALV0824-003,,"YANG, 2018",ALV0824,36.753,-33.282,0.001,-2546.0,-2546.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,6.83,15.84,2.15,10.37,3.17,1.16,4.28,0.74,5.06,1.09,3.22,0.46,3.06,0.45
8731,ALV0824-005,,"YANG, 2018",ALV0824,36.753,-33.282,0.001,-2546.0,-2546.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,5.9,13.77,1.83,8.78,2.59,0.96,3.32,0.58,3.92,0.84,2.48,0.36,2.4,0.36
8732,ALV0824-010,,"YANG, 2018",ALV0824,36.753,-33.282,0.001,-2546.0,-2546.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,5.19,11.77,1.54,7.19,2.17,0.84,2.85,0.5,3.36,0.72,2.13,0.3,2.03,0.3
8733,ALV0825-004,,"REEKIE, 2019",ALV0825,36.608,-33.782,0.001,-2612.0,-2612.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,2.24,5.85,0.93,5.16,1.86,0.74,2.68,0.49,3.42,0.75,2.23,0.32,2.28,0.33
8734,ALV0825-005,,"REEKIE, 2019",ALV0825,36.608,-33.782,0.001,-2612.0,-2612.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,3.17,7.61,1.16,6.16,2.06,0.78,2.79,0.51,3.66,0.8,2.33,0.32,2.28,0.34
8735,ALV0825-006,,"REEKIE, 2019",ALV0825,36.608,-33.782,0.001,-2612.0,-2612.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,5.3,12.02,1.75,8.78,2.76,0.98,3.61,0.65,4.27,0.92,2.67,0.38,2.68,0.39
8736,ALV0826-002,,"REEKIE, 2019",ALV0826,36.48,-33.69,0.01,-2536.0,-2536.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,1.7,4.47,0.73,4.23,1.59,0.65,2.32,0.41,2.97,0.65,1.93,0.27,1.9,0.27
8737,ALV0826-006,,"REEKIE, 2019",ALV0826,36.48,-33.69,0.01,-2536.0,-2536.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,3.87,9.25,1.42,7.47,2.51,0.93,3.44,0.61,4.22,0.9,2.7,0.37,2.66,0.38
8738,ALV0827-003-VG3965,,"REEKIE, 2019",ALV0827,36.45,-33.617,0.001,-2500.0,-2500.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,3.9,9.27,1.42,7.46,2.52,0.95,3.35,0.6,4.15,0.89,2.53,0.35,2.47,0.35
8739,ALV0827-003-VG3966,,"REEKIE, 2019",ALV0827,36.45,-33.617,0.001,-2500.0,-2500.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.32,9.6,1.36,6.86,2.19,0.81,3.0,0.54,3.69,0.81,2.43,0.34,2.45,0.35
8740,ALV0827-006,,"REEKIE, 2019",ALV0827,36.45,-33.617,0.001,-2500.0,-2500.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.83,10.58,1.49,7.13,2.14,0.79,2.71,0.48,3.41,0.72,2.1,0.29,2.11,0.29
8741,ALV0827-010,,"REEKIE, 2019",ALV0827,36.45,-33.617,0.001,-2500.0,-2500.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,6.64,14.67,2.08,10.13,3.11,1.08,3.89,0.68,4.64,1.0,2.93,0.41,2.88,0.43
8742,ALV0827-011,,"REEKIE, 2019",ALV0827,36.45,-33.617,0.001,-2500.0,-2500.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,5.0,11.86,1.76,9.07,2.96,1.02,3.84,0.7,4.68,1.03,2.95,0.43,3.01,0.42
8743,ALV0827-012,,"YANG, 2018",ALV0827,36.45,-33.617,0.001,-2500.0,-2500.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.47,10.4,1.46,7.39,2.47,0.91,3.54,0.64,4.42,0.96,2.88,0.41,2.78,0.41
8744,ALV0827-013,,"YANG, 2018",ALV0827,36.45,-33.617,0.001,-2500.0,-2500.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,6.48,14.44,1.93,9.22,2.73,1.02,3.67,0.65,4.36,0.93,2.77,0.4,2.63,0.4
8745,ALV0828-003,,"YANG, 2018",ALV0828,36.45,-32.7,0.01,-2542.0,-2542.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.45,10.55,1.5,7.6,2.5,0.95,3.46,0.62,4.26,0.9,2.7,0.39,2.57,0.39
8746,ALV0828-004,,"YANG, 2018",ALV0828,36.45,-32.7,0.01,-2542.0,-2542.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.1,9.73,1.4,7.08,2.33,0.9,3.25,0.58,3.99,0.85,2.52,0.36,2.42,0.36
8747,ALV0828-005,,"YANG, 2018",ALV0828,36.45,-32.7,0.01,-2542.0,-2542.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.33,10.47,1.49,7.59,2.47,0.94,3.47,0.62,4.17,0.89,2.66,0.38,2.54,0.38
8748,ALV0828-006,,"YANG, 2018",ALV0828,36.45,-32.7,0.01,-2542.0,-2542.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.66,11.07,1.58,7.99,2.55,0.97,3.61,0.64,4.38,0.93,2.79,0.39,2.64,0.4
8749,ALV0828-008,,"YANG, 2018",ALV0828,36.45,-32.7,0.01,-2542.0,-2542.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,3.06,7.75,1.17,6.24,2.15,0.86,3.21,0.59,4.07,0.89,2.67,0.39,2.54,0.39
8750,ALV0828-009,,"YANG, 2018",ALV0828,36.45,-32.7,0.01,-2542.0,-2542.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,2.3,5.98,0.93,5.05,1.84,0.77,2.71,0.5,3.49,0.76,2.26,0.33,2.24,0.34
8751,ALV0828-011,,"YANG, 2018",ALV0828,36.45,-32.7,0.01,-2542.0,-2542.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,5.24,12.12,1.73,8.79,2.89,1.08,4.16,0.74,5.03,1.08,3.22,0.46,3.04,0.46
8752,ALV0830-006,,"YANG, 2018",ALV0830,36.724,-33.307,0.001,,,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,5.53,12.77,1.74,8.55,2.65,0.98,3.61,0.63,4.32,0.95,2.79,0.4,2.68,0.4
8753,ALV1123-002,,"SUN, 2003",ALV1123,1.75,-85.34,0.01,-3016.0,-3016.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,1.36,5.27,0.99,5.76,2.54,1.0,3.8,0.7,4.98,1.07,3.21,0.475,3.2,0.48
8754,ALV1685-001,,"YANG, 2018",ALV1685,23.22,-44.95,0.01,-3555.0,-3555.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,5.02,16.52,2.73,15.05,5.12,1.81,6.78,1.17,7.95,1.69,4.93,0.71,4.74,0.71
8755,ALV1685-004,,"YANG, 2018",ALV1685,23.22,-44.95,0.01,-3555.0,-3555.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,3.69,12.06,2.04,11.25,3.86,1.44,5.15,0.91,6.2,1.32,3.89,0.56,3.8,0.57
8756,ALV1686-001,,"YANG, 2018",ALV1686,23.21,-43.89,0.01,-3854.0,-3854.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.81,15.71,2.57,14.08,4.71,1.69,6.21,1.08,7.24,1.53,4.48,0.64,4.3,0.64
8757,ALV1686-003,,"YANG, 2018",ALV1686,23.21,-43.89,0.01,-3854.0,-3854.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.87,15.97,2.6,14.3,4.79,1.71,6.27,1.09,7.32,1.55,4.53,0.65,4.35,0.65
8758,ALV1687-001,,"YANG, 2018",ALV1687,23.19,-44.88,0.01,-3957.0,-3957.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.65,14.9,2.48,13.47,4.6,1.62,6.08,1.06,7.16,1.51,4.43,0.63,4.22,0.63
8759,ALV1688-001,,"YANG, 2018",ALV1688,23.16,-44.96,0.01,-3937.0,-3937.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,2.93,9.14,1.59,9.07,3.29,1.25,4.61,0.81,5.58,1.2,3.54,0.51,3.39,0.52
8760,ALV1690-001,,"YANG, 2018",ALV1690,22.9,-44.93,0.01,-3369.0,-3369.0,,0.021,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.79,15.38,2.52,13.85,4.66,1.66,6.16,1.07,7.19,1.52,4.44,0.63,4.23,0.63
8761,ALV1690-004,,"YANG, 2018",ALV1690,22.9,-44.93,0.01,-3369.0,-3369.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.71,14.97,2.48,13.71,4.7,1.66,6.19,1.08,7.26,1.54,4.49,0.65,4.28,0.64
8762,ALV1690-010,,"YANG, 2018",ALV1690,22.9,-44.93,0.01,-3369.0,-3369.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.31,13.62,2.22,12.09,4.14,1.52,5.55,0.94,6.36,1.35,3.89,0.56,3.68,0.54
8763,ALV1690-015,,"YANG, 2018",ALV1690,22.9,-44.93,0.01,-3369.0,-3369.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.57,14.36,2.35,12.78,4.33,1.6,5.91,1.02,6.77,1.44,4.18,0.59,3.9,0.58
8764,ALV1690-020,,"YANG, 2018",ALV1690,22.9,-44.93,0.01,-3369.0,-3369.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.56,14.34,2.35,12.77,4.34,1.59,5.81,1.0,6.66,1.41,4.12,0.58,3.87,0.57
8765,ALV1690-023,,"YANG, 2018",ALV1690,22.9,-44.93,0.01,-3369.0,-3369.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.59,14.31,2.36,12.86,4.32,1.6,5.96,1.02,6.74,1.43,4.18,0.59,3.91,0.59
8766,ALV1691-002,,"YANG, 2018",ALV1691,22.86,-44.88,0.01,-2901.0,-2901.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.38,14.17,2.34,12.77,4.37,1.62,5.93,1.04,6.89,1.47,4.32,0.62,4.05,0.61
8767,ALV1692-002,,"YANG, 2018",ALV1692,22.9,-44.97,0.01,-3174.0,-3174.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.04,12.89,2.12,11.53,3.97,1.49,5.41,0.94,6.28,1.33,3.88,0.55,3.65,0.55
8768,ALV1692-010,,"YANG, 2018",ALV1692,22.89,-44.97,0.01,-3165.0,-3165.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,3.01,9.83,1.68,9.52,3.47,1.31,4.95,0.87,5.93,1.27,3.72,0.53,3.47,0.52
8769,ALV1694-008,,"YANG, 2018",ALV1694,22.9,-45.05,0.01,-3016.0,-3016.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.1,12.61,2.07,11.27,3.84,1.49,5.29,0.91,6.13,1.31,3.8,0.54,3.54,0.53
8770,ALV1695-001,,"YANG, 2018",ALV1695,23.07,-44.92,0.01,-3837.0,-3837.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.81,14.79,2.43,13.35,4.58,1.7,6.29,1.1,7.35,1.56,4.56,0.65,4.27,0.64
8771,ALV1723-001-A,,"SUN, 2003",ALV1723,45.9333,-130.014,0.0001,,,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.54,12.7,1.94,9.32,3.2,1.23,4.24,0.71,4.8,1.03,2.96,0.417,2.97,0.42
8772,ALV1739-002-A,,"SUN, 2003",ALV1739,45.9,-130.2,0.1,-2502.0,-2502.0,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,BASALT,,SPREADING_CENTER,4.18,11.8,1.8,8.57,2.9,1.13,3.95,0.66,4.65,0.95,2.83,0.393,2.72,0.4
8773,ALV1801-001,,"GARCIA, 1993",ALV1801,18.54,-155.15,0.01,-987.0,-987.0,,,,ICPAES; ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,SEAMOUNT,12.1,27.0,3.7,19.0,4.99,1.76,5.63,0.9,4.9,0.96,2.67,0.35,2.12,0.3
8774,ALV1801-004,,"GARCIA, 1993",ALV1801,18.54,-155.15,0.01,-987.0,-987.0,,,,ICPAES; ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,SEAMOUNT,12.8,31.3,4.25,20.3,5.39,1.81,5.73,1.02,5.1,1.01,3.02,0.38,2.16,0.31
8775,ALV1801-005,,"GARCIA, 1993",ALV1801,18.54,-155.15,0.01,-987.0,-987.0,,,,ICPAES; ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,SEAMOUNT,11.6,28.3,3.87,17.5,4.73,1.64,5.12,0.95,4.48,0.86,2.71,0.33,1.84,0.25
8776,ALV1801-014,,"GARCIA, 1993",ALV1801,18.54,-155.15,0.01,-987.0,-987.0,,,,ICPAES; ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,SEAMOUNT,13.4,31.2,4.23,19.6,5.08,1.77,5.61,0.96,4.82,0.92,2.78,0.36,2.02,0.28
8777,ALV1801-019,,"GARCIA, 1993",ALV1801,18.54,-155.15,0.01,-987.0,-987.0,,,,ICPAES; ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,SEAMOUNT,14.7,34.7,4.61,21.0,5.45,1.86,5.85,1.01,4.86,0.94,2.88,0.37,2.02,0.28
8778,ALV1801-022,,"GARCIA, 1993",ALV1801,18.54,-155.15,0.01,-987.0,-987.0,,,,ICPAES; ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,SEAMOUNT,11.6,28.8,4.04,17.2,4.77,1.71,5.49,1.04,4.74,0.9,2.99,0.39,2.07,0.28
